id,title,description,price,compare_price,image_url,product_url,availability,tags
7392187515017,OG CUP 2.0 With Screw-On Lid 500ml (17oz),"Sip and savour each and every note.
What makes our OG Cup 2.0 so special?
It’s leak proof, comes with a screw-on lid for that no mess experience, and a ceramic interior that better preserves flavours so you can savour every note of your drink.
Now available in three colours: Thunder Blue, Space Black, and Lucky Pink.",79.00,79.00,,https://shop.zuscoffee.com,available,Tumbler
7296805109897,All-Can Tumbler 600ml (20oz),"Your companion through the day.
Need a tumbler that’ll stick with you through a long office day or exhausting gym session?
Calling All-Can Tumbler! With interchangeable lids—screw-on for your hot americano, flip-top for your iced sips—and a good 8 hours of perfectly preserved temperatures, this tumbler is perfect to take on-the-go.
Whether you’re in the humid jungle or a freezing office, All-Can is with you through it all.",52.50,105.00,,https://shop.zuscoffee.com,available,"merdeka deal, Tumbler"
7877169053833,All Day Cup 500ml (17oz) - Sundaze Collection,"Sundaze Collection: Embrace the Sunny Beach Days

Bring the serene beauty of sunkissed shades into your everyday routine with the All Day Cup - Sundaze Collection. Inspired by breezy shores and warm golden sands, each cup captures the relaxed vibes of endless beach days. Choose from:🏖️ Tideline 🐚 Seashell 🏰 Sand CastleWhether you're soaking up the sun or dreaming of the waves, these cups are your perfect ""All Day"" companion, keeping your drinks just the way you like them—hot or cold, up to 16 hours. Let the Sundaze Collection effortlessly lift up your style and vibes wherever you go.",79.00,79.00,,https://shop.zuscoffee.com,available,"All Day, Tumbler"
7234599551113,All Day Cup 500ml (17oz),"Your drinks All Day, everyday.
This tumbler’s more than a way to sip on delicious drinks, it’s an effortless way to express yourself.
With a leak proof, dual-purpose lid, your hot or iced drinks will be kept perfectly preserved for up to 16 hours so you can enjoy each sip like it’s the first. 
Pair that with customizable combos and gorgeous accessories, your daily brews are about to get a colourful upgrade with our All Day Cup.",79.00,79.00,,https://shop.zuscoffee.com,available,"All Day, Tumbler"
7255413915785,Frozee Cold Cup 650ml (22oz),"Embrace the chill.
Whether you’re a frappe-lover or simply adore iced drinks, our Frozee Cold Cup will keep your drink cold for longer thanks to its double wall insulation. Not to mention, our straws are reusable and our lids are spill-proof—no messes allowed here.",55.00,55.00,,https://shop.zuscoffee.com,available,Tumbler
7877203361929,OG Ceramic Mug (16oz),"Minimalist mug for delicious sips.

Our OG Ceramic Mug makes those small moments all the more comfortable. High-quality ceramic blends effortlessly with an ergonomic handle for an easy grip—ensuring you get the ultimate cosy experience with style and practicality.",39.00,,,https://shop.zuscoffee.com,available,"Limited Edition, Mug, Tumbler"
7969832304777,[Kopi Patah Hati] ZUS Frozee Cold Cup 650ml (22oz),"Whether you're crying over lowkey unloved or celebrating your bounce back era, the Kopi Patah Hati Frozee Cold Cup is your emotional support cup. Heartbreak tears or glow-up cheers, staying effortlessly hydrated is always a win. Now available in Sabrina Pink and Olivia Purple.",55.00,55.00,,https://shop.zuscoffee.com,available,Tumbler
8135262109833,All Day Cup 500ml (17oz) - Mountain Collection,"Your drinks All Day, everyday.


Maybe quietude and constancy are your mottos, or you feel at home amongst the fresh, clean air of higher altitudes. As steadfast as the tall trees, you’ve got a grounded confidence about you that speaks of surety, of someone who knows what they want and moves to achieve it. Strategic, mature, and observant, you’re best defined by the Mountain colourways.
If you can relate to the collection, these cups are your perfect ""All Day"" companion, keeping your drinks just the way you like them—hot or cold, up to 16 hours.",79.00,79.00,,https://shop.zuscoffee.com,available,"All Day, Tumbler"
8135049674889,All Day Cup 500ml (17oz) - Aqua Collection,"Your drinks All Day, everyday.
When you’re the life of the party, you’ll find yourself gravitating towards experiences that can be shared with others. You’re like the endless water: expansive, an adventure waiting to unfold. You’re never in one place when there’s a whole world out there. Bold, playful, and a thrill-seeker, you’re best known by the Aqua colourways you carry.
If you can relate to the collection, these cups are your perfect ""All Day"" companion, keeping your drinks just the way you like them—hot or cold, up to 16 hours.",79.00,79.00,,https://shop.zuscoffee.com,available,"All Day, Tumbler"
7970522955913,ZUS Stainless Steel Mug (14oz),"Coffee smells better outdoors.

Does it? I guess it's time to find out! Made for those who cherish the outdoors or simply just prefer sipping their coffee through a mug. Made from durable 304 stainless steel, features double-wall vacuum insulation to keep your drinks hot or cold up to 5 hours.No matter where your journey takes you—whether it’s a roadside coffee break to ""heal"" or a moment in the mountains surrounded by good company—we’re more than just a mug for great coffee. We’re the small comfort you can always count on, wherever the road may lead.",59.00,59.00,,https://shop.zuscoffee.com,available,"Mug, Tumbler"
8111051669641,[Corak Malaysia] Tiga Sekawan Bundle,"Your drinks All Day, everyday.
Show your appreciation of our local arts with the Tiga Sekawan bundle in three variations, inspired by the vibrant culture and history of our country’s thirteen states.
This bundle features: 
  Corak Malaysia All Day Cup:  Our All Day Cups now feature unique designs inspired by our cultural arts, embodying the heart of our country with a special ZUS twist on each variation.
 Corak Malaysia Cup Sleeve: This sleeve is a beautiful combination of culture and function. Made from soft and durable synthetic leather with an adjustable strap that can adapt to various cup sizes, along with an interchangeable nylon string to hand-carry or wear crossbody.
  Corak Malaysia Reusable Straw Kit:  Sustainable, compact, and designed to be easy to carry. This kit contains a food-grade stainless steel straw with a soft silicone tip to protect your lips and teeth, as well as a brush to keep the straw clean.",133.90,,,https://shop.zuscoffee.com,available,"All Day, Tumbler"
8083128746121,ZUS® Specials Denim Tote,"Need something to carry all the emotional baggage your situationship gave you? Put it in our Denim Tote Bag, made to handle all that drama—and more.",29.90,29.90,,https://shop.zuscoffee.com,available,Accessories
7949372096649,CNY Fridge Magnet - Full Set - 6's,"Your fridge just got a whole lot more ONG.
Get ready to celebrate Chinese New Year with ZUS Coffee! This season, we’re bringing you an exclusive chance to collect limited-edition magnets with a festive twist.
ZUS Coin
Introducing the ZUS Coin – your symbol of wealth, prosperity, and good fortune! Stick this magnet on your fridge this Chinese New Year and bring good vibes to your kitchen. With six unique designs, it’s more than just a magnet – it’s a festive touch that will remind you to embrace good fortune every day
Stay Healthy, No Cap 
ZUS wishes you a year filled with good health, happiness, and plenty of great coffee! Featuring playful cracker engravings, this fridge magnet is a friendly reminder to keep your kitchen stocked with the essentials. Health is wealth – so let this magnet inspire you to nourish both body and soul! 
Vibes on Vibes
May your year be as sweet as nian gao! This fridge magnet is here to bring all the good vibes. Let the festive energy of this magnet remind you to enjoy life’s little moments and spread happiness. 
Level Up, Fam
Ascension is on the horizon! ZUS wishes you promotions, success, and all the career wins this year. This motivational fridge magnet is here to keep you focused on your goals. Whether you’re brewing your morning coffee or planning your next big move, let it remind you that success is always within reach. 
Smile On Always 
Laughter is the best medicine, and this fridge magnet brings it right to your kitchen. With its uplifting message, it’s a constant reminder to find joy in every moment. Every time you open the fridge, smile a little brighter, and let positivity fill your space. 
Big Wins, No Ls 
This year is all about winning! Keep this fridge magnet as a reminder that success is yours to claim. With its motivational message, it’s perfect for keeping you focused and energized to take on any challenge. Let it be your go-to source of inspiration in the kitchen – and more.",48.00,68.00,,https://shop.zuscoffee.com,available,"Accessories, Limited Edition, Magnet"
8060637413513,ZUS® Ngupi™ Glass Food Container,"Bring a dash of nostalgia to your kitchen with this NGUPI® container, dressed in charming kopitiam-inspired prints! Whether you're storing snacks or serving up leftovers, its tight-fitting lid locks in freshness.",23.00,,,https://shop.zuscoffee.com,available,Accessories
