name,location,address,hours,services,direction_link
Sunway Velocity Two,55100 Wilayah Persekutuan Kuala Lumpur.,"Lot VS1-G-01, Sunway Velocity Two, Jalan Peel, Seksyen 90, 55100 Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Kidzania Kuala Lumpur,Selangor,"Curve NX, Jalan PJU 7/5, Mutiara, Damansara 47810 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Seventeen Mall,Selangor,"998, Jalan 17/38, Seksyen 17, 46400 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
SHELL Cyberjaya Autoville,Selangor,"Stesen Minyak Shell Autoville, Persiaran Mutilmedia, Cyber 10, 63000, Cyberjaya, Selangor",Not specified,"Coffee, Food, Beverages",
Cybersouth Dengkil,Selangor,"No 35-G, Jalan PP 1/1, Park Place 1, Cybersouth, 43800 Dengkil, Selangor",Not specified,"Coffee, Food, Beverages",
UCSI University KL,Kuala Lumpur.,"Lot 6, Block G, Ground Floor, UCSI University, No. 1, Jalan Menara Gading, UCSI Heights (Taman Connaught), 56000 Cheras, Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Avenue K,50450 Kuala Lumpur.,"Lot C-6, Level Concourse, Avenue K, 156 Jalan Ampang, 50450 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Centrepoint Bandar Utama,Selangor,"LOT F103, First Floor, Centrepoint Bandar Utama, 3, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Setiawangsa,WP Kuala Lumpur,"No 30-G (G-Floor), Jalan Setiawangsa 10 (10/55A), Taman Setiawangsa, 54200, WP Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Sungei Wang Plaza,Wilayah Persekutuan Kuala Lumpur,"Lot PK-5, Sungei Wang Plaza, Jalan Sultan Ismail, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Universiti Kebangsaan Malaysia (Bangunan Pusanika),Kuala Lumpur/Selangor,"Aras Satu, Bangunan Pusanika, Universiti Kebangsaan Malaysia, 43600 Bangi, Malaysia",Not specified,"Coffee, Food, Beverages",
"Tower 8, Horizon 2, Bangsar South",Kuala Lumpur.,"Office 2, Ground Floor, Tower 8, Bangsar South City, Jalan Kerinchi, Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Eco Sky,Kuala Lumpur,"G-30, Eco Sky, No. 972, Batu 6 1/2, Jalan Ipoh, 68100, Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Berjaya Times Square,Wilayah Persekutuan Kuala Lumpur,"Berjaya Times Square, Lot LG-18C-03A, 1, Jln Imbi, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Alamanda Putrajaya,Wilayah Persekutuan Putrajaya.,"Lot G22, Ground Floor. Jalan Alamanda, Presint 1, 62000 Putrajaya, Wilayah Persekutuan Putrajaya.",Not specified,"Coffee, Food, Beverages",
INTI International College Subang,Selangor.,"Cafeteria Level 1, Block B, INTI International College Subang Campus, No 3, Jalan SS15/8, 47500 Subang Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
Bandar Country Homes Rawang,Selangor,"No. G-16, Avia Plus, Jalan Desa Utama, Bandar Country Home, 48000 Rawang, Selangor",Not specified,"Coffee, Food, Beverages",
Melawati Mall,Selangor,"Lot L1-K1, Melawati Mall, Jalan Bandar 12, Taman Melawati, 53100 Kuala Lumpur, Selangor",Not specified,"Coffee, Food, Beverages",
IOI Boulevard,Selangor.,"B-G-13A (Ground Floor), IOI Boulevard, Jalan Kenari 5, Bandar Puchong Jaya, 47100 Puchong, Selangor.",Not specified,"Coffee, Food, Beverages",
Pekan Meru,Selangor,"195, Jalan Meru Batu 6 1/2, Pekan Meru, 41050 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
Desa Petaling,Desa Petaling 57100 Kuala Lumpur,"29, Jalan 3/125D, Desa Petaling 57100 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Jade Hills Kajang,Selangor,"No 54-1, Jalan Dataran Jade 6, Dataran Jade, Jade Hills, 43000 Kajang, Selangor",Not specified,"Coffee, Food, Beverages",
Bandar Tasik Puteri,Selangor,"No 82-G-A, Ground Floor, Jalan 7A/2, Bandar Tasik Puteri, 48000 Rawang, Selangor",Not specified,"Coffee, Food, Beverages",
Bandar Sunway,Selangor,"No 27 (Ground Floor), Jalan PJS 11/28b, Sunway Metro Bandar Sunway, 46150 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Cheras Leisure Mall,Wilayah Persekutuan Kuala Lumpur,"Lot L1-24, Leisure Mall, Jalan Manis 6, Taman Bukit Segar, 56100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Pearl Point Shopping Mall,58200 Kuala Lumpur.,"LOT F-25. Menara Pearl Point 2 No. 2A, Jalan Sepadu, Off, Jln Klang Lama, 58200 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Empire Shopping Gallery,Selangor Darul Ehsan,"LK-07, Level Lower Ground, Empire Shopping Gallery, Jalan SS16/1, 47500 Subang Jaya, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
CALTEX Sungai Choh,Selangor Darul Ehsan.,"PT 20499 (Lot 1493), Kampung Stesen, Sungai Buaya, 48000 Sungai Choh, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
Teluk Pulai,Selangor,"No.198 (Ground floor), Jalan Teluk Pulai, 41000 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
PJ New Town,Selangor,"10 (Ground Floor), Jalan 52/18, PJ New Town, 46200 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
KSL Esplanade Mall,Selangor,"LOT G053A, Ground Floor, No 2, Jalan Langat KS9, Bandar Bestari, 42500 Klang, Selangor",Not specified,"Coffee, Food, Beverages",
Da Men Mall,Selangor.,"LG-25, Lower ground. 1, Persiaran Kewajipan, Usj 1, 47600 Subang Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
University of Malaya,50603 Kuala Lumpur,"Locker Room (Ground Floor), Bangunan Perpustakaan Utama, University of Malaya, Lembah Pantai, 50603 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
University of Nottingham,Selangor Darul Ehsan,"Block H (Ground Floor), Student Association Building, Jalan Broga, 43500 Semenyih, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
Suria KLCC,50088 Kuala Lumpur,"Lot No. OS301 , Level 3, Suria KLCC, Persiaran Petronas, Kuala Lumpur City Centre, 50088 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
KL Gateway,Wilayah Persekutuan Kuala Lumpur.,"Lot G.15 & G.16. KL Gateway Mall. 2, Jalan Kerinchi, Kampung Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
AEON Mall Wangsa Maju Alpha Angle,Bandar Baru Wangsa Maju 53300 Kuala Lumpur.,"Lot F37. Jalan R1, Seksyen 1, Bandar Baru Wangsa Maju 53300 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
KLIA 1 Departure Hall,Selangor Darul Ehsan.,"Lot CPD 3 A06, Gate A, Contact Pier Domestic KLIA, Kuala Lumpur International Airport, 64000 Sepang, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
M3 Shopping Mall,Wilayah Persekutuan Kuala Lumpur.,"GK-10a & GK-10b, Jln Madrasah, Taman Melati, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Xiamen University Malaysia,Selangor.,"A3 Library Cafe – GF, Xiamen University Malaysia, Jalan Sunsuria, Bandar Sunsuria, 43900 Sepang, Selangor.",Not specified,"Coffee, Food, Beverages",
Skypark Terminal,Selangor,"Lot No. G10B, Ground Floor, Skypark Terminal, Sultan Abdul Aziz Shah Airport, 47200 Subang, Selangor",Not specified,"Coffee, Food, Beverages",
Jaya One Mall,Selangor.,"100-P2.017 The School, Jaya One. 72A, Jln Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
AEON Mall Metro Prima Kepong,Wilayah Persekutuan Kuala Lumpur.,"LOT KF2. 1, Jalan Metro Prima, Taman Kepong, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Taman Bukit Anggerik,56000 Kuala Lumpur,"No.14 (Ground Floor), Jalan 34/154, Taman Bukit Anggerik, 56000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
AEON Mall Taman Maluri,Wilayah Persekutuan Kuala Lumpur,"Lot KF2. Jalan Jejaka, Maluri, 55100 Cheras, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
AEON Mall Bukit Raja,Selangor.,"Lot G23, Bukit Raja Shopping Centre, Persiaran Bukit Raja 2, Bandar Baru Klang, 41150 Klang, Selangor.",Not specified,"Coffee, Food, Beverages",
Taman Desa Setapak,Kuala Lumpur,"No.37 (Ground Floor), Jalan 1/27B, Desa Setapak, 53300, Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Taman Kosas,Selangor Darul Ehsan.,"No 21 (Ground Floor), Jalan Kosas 1/2, Taman Kosas, 68000 Ampang, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
Putrajaya Presint 15,Wilayah Persekutuan Putrajaya,"No 43 (Ground Floor), Jalan Diplomatik, Presint Diplomatik, 62050 Putrajaya, Wilayah Persekutuan Putrajaya",Not specified,"Coffee, Food, Beverages",
Bandar Sungai Long,Selangor,"No 19, Ground Floor, Jalan SL 1/4, Bandar Sungai Long, 43000 Kajang, Selangor",Not specified,"Coffee, Food, Beverages",
Quayside Mall,Selangor.,"1FK-07, First Floor. Quayside Mall. Gamuda Kemuning, 25.7, Persiaran Freesia, 42500 Telok Panglima Garang, Selangor.",Not specified,"Coffee, Food, Beverages",
MYDIN USJ Subang Jaya,Selangor,"Lot GSRU-24,GSRU-25, Ground Floor level, MYDIN Subang Jaya, Persiaran Subang Permai, USJ 1, 47500 Subang Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
Temu @ City Of Elmina,Selangor Darul Ehsan.,"No 5 (Ground Floor), Jalan Eserina AA U16/AA, Elmina East, Seksyen U16, 40150 Shah Alam, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
BMC Mall,Selangor.,"GK-01, BMC Mall. Jalan Temenggung 21/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor.",Not specified,"Coffee, Food, Beverages",
Nu Sentral Mall,Wilayah Persekutuan Kuala Lumpur.,"Lot CC.04A. 201, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Pandan Indah,Kuala Lumpur.,"No. 15G (Ground Floor), Jalan Perubatan 2, Pandan Indah, 55100, Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
Majestic Maxim Residensi Tmn Bkt Cheras,56000 Kuala Lumpur,"No.LG-03, Residensi Majestic Maxim, 45, Jalan 9, Taman Bukit Cheras, 56000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
Quill City Mall,Wilayah Persekutuan Kuala Lumpur.,"LG-23A. 1018, Jln Sultan Ismail, Bandar Wawasan, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
IOI City Mall,Kuala Lumpur/Selangor,"L1-K204, First Floor, IOI City Mall 2, Lebuh IRC, IOI Resort City, 62502 Putrajaya",Not specified,"Coffee, Food, Beverages",
"Megah Rise Mall, PJ",Kuala Lumpur/Selangor,"Lot G-15, Ground Floor, Megah Rise Mall, Jalan SS 24/11, Taman Megah, 47301 Petaling Jaya",Not specified,"Coffee, Food, Beverages",
BHP Jalan Maarof,Wilayah Persekutuan Kuala Lumpur,"78, Jalan Ma’arof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
The FLO Bandar Sri Damansara,52200 Kuala Lumpur,"GF-3, The Flo, Persiaran Perdana, Bandar Sri Damansara, 52200 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
AEON Mall Taman Equine Shopping Centre,Selangor,"Lot LG13, Lower Ground Floor, Aeon Taman Equine Shopping Centre, 2, Jalan Equine, Pusat Bandar Putra Permai, 43300 Seri Kembangan, Selangor",Not specified,"Coffee, Food, Beverages",
Puncak Jalil,Selangor Darul Ehsan.,"No 26 (Ground Floor), Jalan PUJ 3/13, Taman Puncak Jalil, 43300 Seri Kembangan, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
Banting,Selangor Darul Ehsan.,"No 213 (Ground Floor), Jalan Sultan Abdul Samad, Bandar Banting, 42700 Banting, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
AEON Mall Shah Alam,Selangor,"Lot (KG10), AEON Mall Shah Alam, Jalan Akuatik 13/64, Seksyen 13, 40100 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Datum Jelatek Mall,Selangor.,"L1-K-09 & 07 (level 1), Datum Jelatek Mall, Jalan Enggang, Taman Keramat, 54200 Kuala Lumpur, Selangor.",Not specified,"Coffee, Food, Beverages",
"Taman Tas, Kuantan",Kuala Lumpur/Selangor,"B4 (Ground Floor), Lorong Pandan Damai 2/4, Taman Pandan Damai, 25150 Kuantan, Pahang Darul Makmur.",Not specified,"Coffee, Food, Beverages",
Antara Gapi,Selangor Darul Ehsan.,"No 15-G (Ground Floor), Jalan Gapi 1A/3, Perniagaan Antara Gapi, 48200 Serendah, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
Shah Alam Seksyen 14 (Vista Alam),Selangor Darul Ehsan,"F-G-29 (Ground Floor), Vista Alam, Jalan Ikhtisas, Seksyen 14, 40000 Shah Alam, Selangor Darul Ehsan",Not specified,"Coffee, Food, Beverages",
Bandar Saujana Putra,Selangor Darul Ehsan.,"No 19-G, Jalan SP 1/1, Bandar Saujana Putra, 42610 Jenjarom, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
CALTEX Temiang,Kuala Lumpur/Selangor,"Lot 40766, Persiaran Sri Pulai 2, 70400 Seremban, Negeri Sembilan Darul Khusus.",Not specified,"Coffee, Food, Beverages",
SB Mall Sungai Buloh,Selangor,"G-17B, SB Mall, Bukit Rahman Putra, 47000 Sungai Buloh, Selangor",Not specified,"Coffee, Food, Beverages",
Subang Bestari,Selangor,"No 3 (Ground Floor), Jalan Nova U5/N, Subang Bestari, 40150 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Setia City Mall,Selangor,"L1-120, Level 1, Setia City Mall, Persiaran Setia Dagang, Setia Alam, 40170 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
Batang Kali,Selangor Darul Ehsan.,"No 7 (Ground Floor), Jalan Mahagoni 7/1A, Seksyen 4, Perniagaan Jalan Mahagoni, 44300 Batang Kali, Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
MENARA WORLDWIDE,Wilayah Persekutuan Kuala Lumpur,"Ground Floor, Menara Worldwide, 198, Jln Bukit Bintang, Kuala Lumpur, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
PUTRA HEIGHTS,Selangor,"No 31 (Ground Floor), Jalan Putra Mahkota 7/6c, Putra Point Commercial Centre, 47650 Subang Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
1 UTAMA SHOPPING CENTRE,Selangor,"1 Utama Shopping Centre, Lot L2-SK9, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
SAUJANA UTAMA,Selangor,"No. 23G, Taman, Jalan Bidara 10, Saujana Utama 3, 47000 Sungai Buloh, Selangor",Not specified,"Coffee, Food, Beverages",
DENAI ALAM,Selangor,"No 39, 1, Jln Elektron U16/D, Denai Alam, 40160 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
BANDAR SERI COALFIELDS,Selangor,"No 32 (Ground Floor), Bandar Seri Coalfields, Jalan BSC 2B/2, 47000 Sungai Buloh, Selangor",Not specified,"Coffee, Food, Beverages",
TROPICANA GARDENS MALL,Selangor,"LOT 3F 47&48, Third Floor, Tropicana Gardens Mall, Jln PJU 3/21, Tropicana Indah, 47410 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
LAKEFIELDS TRILLIUM,57000 Kuala Lumpur,"58-G, Jalan Tasik Utama 5 Medan Niaga Tasik Damai, Sungai Besi, 57000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"TAMAN SRI SERDANG, SERI KEMBANGAN",Selangor,"3352 (Ground Floor), Jalan 18/32, Taman Sri Serdang, 43300 Seri Kembangan, Selangor",Not specified,"Coffee, Food, Beverages",
IOI CONEZION,Wilayah Persekutuan Putrajaya,"A-G-11, Connection Commercial, Persiaran IRC 3 IRC 3, IOI Resort City, 62502 Sepang, Wilayah Persekutuan Putrajaya",Not specified,"Coffee, Food, Beverages",
STARLING MALL,Selangor,"K-S-202, Second Floor The Starling Mall, 6, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor",Not specified,"Coffee, Food, Beverages",
SUBANG PERDANA,Selangor,"27-G, Jalan Dinar E U3/E, Taman Subang Perdana, 40150 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
BANDAR SERI PUTRA,Selangor,"13G, Jalan Seri Putra 1/2 Bandar Seri Putra Bangi, 43000 Kajang, Selangor",Not specified,"Coffee, Food, Beverages",
SENTUL POINT,51000 Kuala Lumpur,"BC-G-08 Sentul Point Suite Apartments, Jalan Sentul Pasar, Sentul, 51000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
AMPANG SPECTRUM MALL,Kuala Lumpur/Selangor,"Lot CW-5, Cafe Walk, Ground Floor, Spectrum Shopping Mall",Not specified,"Coffee, Food, Beverages",
"DPulze Shopping Centre, Cyberjaya",Kuala Lumpur/Selangor,"Lot EX-GW-01A, Ground Floor, DPulze Shopping Centre, Persiaran Multimedia, Cyber 12, 63000 Cyberjaya",Not specified,"Coffee, Food, Beverages",
KOTA DAMANSARA,Kuala Lumpur/Selangor,"No. 27-1, Jalan PJU 5/12, Dataran Sunway, Kota Damansara, 47810 Petaling Jaya",Not specified,"Coffee, Food, Beverages",
BUKIT SENTOSA,Selangor,"19G, Jalan Orkid 1F/2, Bukit Sentosa BS 1, 48300 Rawang, Selangor",Not specified,"Coffee, Food, Beverages",
KOTA WARISAN,Selangor,"Unit 63-G, Jalan Warisan Sentral 1, Kota Warisan, Bandar Baru Salak Tinggi, 43900 Sepang, Selangor",Not specified,"Coffee, Food, Beverages",
SHAH ALAM SEKSYEN 13,Selangor,"No. 50, Jalan Renang 13/26, Tadisma Business Park, Seksyen 13, 40100 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
"Sunway Gandaria, Bangi",43650 Selangor,"UG-11 Sunway Gandaria, Jalan Pusat Bandar 2, Bandar Baru Bangi, Seksyen 9, 43650 Selangor",Not specified,"Coffee, Food, Beverages",
RAWANG REEF,Selangor,"No. A13A-G, Jalan Reef 1/1, Pusat Perniagaan Reef, 48000 Rawang, Selangor",Not specified,"Coffee, Food, Beverages",
PRIMA SRI GOMBAK,Selangor,"G-39, Jalan Prima SG 2, Prima Sri Gombak, 68100 Batu Caves, Selangor",Not specified,"Coffee, Food, Beverages",
"Ecohill, Semenyih",Selangor,"C-06-01, Blok C, Pusat Komersial Dataran Ecohill, Jalan Ecohill 1/2, Setia Ecohill 43500 Semenyih, Selangor",Not specified,"Coffee, Food, Beverages",
BANDAR BARU SELAYANG,Selangor,"59, Jalan 2/16, Bandar Baru Selayang 68100 Batu Caves, Selangor",Not specified,"Coffee, Food, Beverages",
BANDAR BUKIT RAJA,Bandar Bukit Raja 41050 Klang Selangor,"13G, Jalan Rodat 2A/KU5, Bandar Bukit Raja 41050 Klang Selangor",Not specified,"Coffee, Food, Beverages",
SETIA ALAM TP2,40170 Shah Alam Selangor,"36-G, Jalan Setia Utama AS U13/AS, Setia Alam, 40170 Shah Alam Selangor",Not specified,"Coffee, Food, Beverages",
SUNWAY PINNACLE,Selangor,"Unit G-02, Ground Floor, The Pinnacle Annexe, Persiaran Lagoon, Sunway City, 47500, Selangor",Not specified,"Coffee, Food, Beverages",
KOTA KEMUNING,Selangor,"1-17-1, No. 14, Persiaran Anggerik Vanilla, Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor",Not specified,"Coffee, Food, Beverages",
SHAH ALAM SEKSYEN 7,Selangor.,"24, Jalan Plumbum P7/P, Seksyen 7, 40000 Shah Alam, Selangor.",Not specified,"Coffee, Food, Beverages",
"MKH Boulevard, Kajang",43000 Kajang Selangor.,"Lot G-15, MKH Boulevard Kajang, Jalan Changkat, Bandar Kajang, 43000 Kajang Selangor.",Not specified,"Coffee, Food, Beverages",
THE CURVE,Selangor.,"K-G27-W, The Curve, Jalan PJU 7/3, Mutiara Damansara, 47820 Petaling Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
?CHERAS TRADER SQUARE,Balakong 43200 Selangor.,"83A-G, Jalan Dataran Cheras 4, Dataran Perniagaan Cheras, Balakong 43200 Selangor.",Not specified,"Coffee, Food, Beverages",
MAIN PLACE,Selangor.,"GF-20, Main Place Mall, USJ 21, 47640 Subang Jaya, Selangor.",Not specified,"Coffee, Food, Beverages",
ZUS BUKIT TINGGI 2,41200 Klang Selangor Darul Ehsan.,"No.55, Lorong Batu Nilam 21B, Bandar Bukit Tinggi 2, 41200 Klang Selangor Darul Ehsan.",Not specified,"Coffee, Food, Beverages",
The Mines Shopping Mall,43300 Selangor.,"The Mines Shopping Mall, Level 3-21A, Jalan Dulang, Seri Kembangan, 43300 Selangor.",Not specified,"Coffee, Food, Beverages",
IOI RIO CITY,Selangor,"Lot 11-1, IOI RIO Office Park, 47100 Puchong, Selangor",Not specified,"Coffee, Food, Beverages",
PUCHONG IOI MALL,Selangor.,"Lot FK-02, First, Jalan Puchong, Bandar Puchong Jaya, 47170 Puchong, Selangor.",Not specified,"Coffee, Food, Beverages",
MASJID JAMEK,50100 Kuala Lumpur,"No. 45-1 & 45-2, Ground Floor, Leboh Ampang, Kuala Lumpur City Centre, 50100 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
BANDAR SRI PERMAISURI,56000 Kuala Lumpur,"11G, Jalan Dwitasik 1, Bandar Sri Permaisuri, 56000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
PAVILION BUKIT JALIL,57000 Kuala Lumpur,"Lot P.1.05.00 Pavilion Bukit Jalil, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
MYTOWN CHERAS,55100 Kuala Lumpur,"Mytown Shopping Mall, LOT G-K-015 & 016, Ground Floor, No.6, Jalan Cochrane, Seksyen 90, 55100 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Taman Bendahara, Kuala Selangor",Jalan Bendahara 1/2A. Taman Bendahara 45000 Kuala Selangor.,"No. 2, Jalan Bendahara 1/2A. Taman Bendahara 45000 Kuala Selangor.",Not specified,"Coffee, Food, Beverages",
MID VALLEY MEGAMALL,59200 Kuala Lumpur,"SK-10, Second Floor, Mid Valley Megamall, Lingkaran Syed Putra, Midvalley City, 59200 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
"Fortune Centra, Kepong",52100 Kuala Lumpur,"G-16, Fortune Centra, 2, Jalan Metro Perdana Timur 6, Taman Usahawan Kepong, 52100 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
FOUND8 KL SENTRAL,Level 3 Kuala Lumpur Sentral 50470 Kuala Lumpur,"5, Jalan Stesen Sentral, East Wing, Level 3 Kuala Lumpur Sentral 50470 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
PUBLIKA,50480 Kuala Lumpur,"Lot K1, G3, Publika Shopping Gallery, No. 1, Jalan Dutamas 1, Solaris Dutamas, 50480 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
PLAZA DAMAS,Wilayah Persekutuan Kuala Lumpur,"60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
SRI PETALING,57000 Kuala Lumpur,"Lot 36-J, Jalan Radin Anum, Sri Petaling, 57000 Kuala Lumpur",Not specified,"Coffee, Food, Beverages",
KL EAST MALL,53100 Kuala Lumpur.,"Lot G2K-03A, KL East Mall, Jalan Lingkaran Tengah 2, Taman Sri Melati, 53100 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
DANAU KOTA,53300 Kuala Lumpur.,"Lot 1-3, Danau Kota Kormesial, No. 1, Jalan 6A/6, Jalan Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
EKOCHERAS MALL,56000 Kuala Lumpur.,"S-63A, 2nd Floor, EkoCheras Mall, No 693, Batu 5, Jalan Cheras, 56000 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
BINJAI 8 PREMIUM SOHO,50450 Kuala Lumpur.,"G04, Pangsapuri Servis (Suite) Binjai 8 No, 2, Lorong Binjai, 50450 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
"The Park Sky Residence, Bukit Jalil",57000 Kuala Lumpur.,"22, The Park Sky Residence @ Bukit Jalil City, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
TAMAN DESA,58100 Kuala Lumpur.,"No 11-0-10, Jalan 4/109F Danau Business Centre, Taman Danau Desa, 58100 Kuala Lumpur.",Not specified,"Coffee, Food, Beverages",
